Price;Brand;Model;Engine;Year;Fuel_Type;Gear_Type;Km;Engine_Power;Engine_Capacity;WD;Color;Warranty;Seller
24900;Opel;Corsa;1.3;2004;Diesel;Manual;270000;70;1248;Front_2WD;Red;No;Gallery
27500;Opel;Corsa;1.2;2004;Gasoline;Manual;164000;75;1199;Front_2WD;Red;No;Gallery
42500;Opel;Corsa;1.3;2008;Diesel;Semi Automatic;300000;90;1248;Front_2WD;Grey;No;Gallery
63750;Opel;Corsa;1.4;2017;Gasoline;Semi Automatic;8780;90;1398;Front_2WD;Red;Yes;Gallery
25000;Opel;Corsa;1.3;2004;Diesel;Manual;200000;70;1248;Front_2WD;Blue;No;Owner
28500;Opel;Corsa;1.7;2003;Diesel;Manual;130000;76;1601;Front_2WD;White;Yes;Gallery
29750;Opel;Corsa;1.3;2011;Diesel;Manual;197000;75;1248;Front_2WD;White;No;Gallery
19250;Opel;Corsa;1.2;2000;Gasoline;Manual;169000;65;1199;Front_2WD;Yellow;No;Gallery
37500;Opel;Corsa;1.2;2007;Gasoline;Semi Automatic;97000;76;1201;Front_2WD;Blue;No;Owner
21250;Opel;Corsa;1.4;1999;Gasoline & LPG;Manual;221000;90;1389;Front_2WD;Red;No;Owner
31000;Opel;Corsa;1.2;2004;Gasoline & LPG;Semi Automatic;80000;75;1199;Front_2WD;Grey;No;Gallery
36850;Opel;Corsa;1.2;2010;Gasoline;Semi Automatic;53000;76;1200;Front_2WD;Black;No;Gallery
37000;Opel;Corsa;1.3;2012;Diesel;Manual;130000;75;1248;Front_2WD;Black;No;Owner
50000;Opel;Corsa;1.4;2015;Gasoline;Semi Automatic;55000;90;1398;Front_2WD;Black;No;Gallery
41750;Opel;Corsa;1.3;2011;Diesel;Manual;86000;75;1248;Front_2WD;White;No;Gallery
38250;Opel;Corsa;1.2;2013;Gasoline;Manual;90000;51;1200;Front_2WD;Smoked;No;Owner
31900;Opel;Corsa;1.2;2005;Gasoline;Manual;130000;80;1229;Front_2WD;Silver Grey;No;Owner
56900;Opel;Corsa;1.4;2016;Gasoline;Automatic;31000;90;1398;Front_2WD;Smoked;Yes;Gallery
42500;Opel;Corsa;1.2;2010;Gasoline;Semi Automatic;69000;176;1201;Front_2WD;Smoked;No;Owner
20000;Opel;Corsa;1.4;2001;Gasoline & LPG;Manual;143000;90;1389;Front_2WD;Grey;No;Owner
18750;Opel;Corsa;1.4;1997;Gasoline & LPG;Manual;195000;60;1389;Front_2WD;Burgundy;No;Gallery
36750;Opel;Corsa;1.3;2008;Diesel;Manual;162300;75;1248;Front_2WD;Grey;No;Owner
23500;Opel;Corsa;1.4;1999;Gasoline & LPG;Manual;180000;101;1201;Front_2WD;Silver Grey;No;Owner
39600;Opel;Corsa;1.4;2013;Gasoline & LPG;Automatic;81000;100;1364;Front_2WD;White;No;Owner
42900;Opel;Corsa;1.3;2012;Diesel;Manual;114000;75;1248;Front_2WD;White;No;Owner
40500;Opel;Corsa;1.3;2006;Diesel;Semi Automatic;62500;70;1248;Front_2WD;Grey;No;Owner
27250;Opel;Corsa;1.3;2007;Diesel;Manual;153250;90;1248;Front_2WD;White;Yes;Owner
32500;Opel;Corsa;1.3;2005;Diesel;Semi Automatic;99000;70;1248;Front_2WD;Grey;No;Owner
26500;Opel;Corsa;1.3;2005;Diesel;Manual;158000;76;1201;Front_2WD;Silver Grey;No;Gallery
30600;Opel;Corsa;1.3;2005;Diesel;Semi Automatic;143000;70;1248;Front_2WD;Grey;No;Gallery
27900;Opel;Corsa;1.2;2004;Gasoline;Manual;116000;75;1199;Front_2WD;White;No;Gallery
44000;Opel;Corsa;1.3;2012;Diesel;Manual;110550;75;1248;Front_2WD;Black;No;Owner
26000;Opel;Corsa;1.3;2006;Diesel;Manual;165000;75;1248;Front_2WD;Black;No;Owner
36000;Opel;Corsa;1.3;2009;Diesel;Manual;155000;76;1201;Front_2WD;Black;No;Owner
43500;Opel;Corsa;1.3;2014;Diesel;Manual;71300;75;1248;Front_2WD;White;No;Owner
44500;Opel;Corsa;1.2;2014;Gasoline;Manual;44000;85;1229;Front_2WD;Smoked;No;Gallery
40900;Opel;Corsa;1.3;2013;Diesel;Manual;124000;75;1248;Front_2WD;White;No;Gallery
47750;Opel;Corsa;1.3;2012;Diesel;Manual;74500;75;1248;Front_2WD;Red;No;Owner
33900;Opel;Corsa;1.3;2008;Diesel;Manual;169000;75;1248;Front_2WD;Grey;No;Gallery
38500;Opel;Corsa;1.3;2011;Diesel;Manual;105000;75;1248;Front_2WD;Black;No;Owner
23750;Opel;Corsa;1.4;1998;Gasoline;Automatic;138000;90;1389;Front_2WD;Green;No;Gallery
48000;Opel;Corsa;1.2;2015;Gasoline;Manual;15500;70;1229;Front_2WD;Navy Blue;No;Owner
47250;Opel;Corsa;1.3;2013;Diesel;Manual;62000;75;1248;Front_2WD;White;No;Owner
33500;Opel;Corsa;1.3;2006;Diesel;Semi Automatic;187000;70;1248;Front_2WD;Silver Grey;Yes;Gallery
53250;Opel;Corsa;1.4;2015;Gasoline;Automatic;62000;100;1364;Front_2WD;Red;No;Gallery
48750;Opel;Corsa;1.3;2011;Diesel;Manual;47750;51;1201;Front_2WD;Brown;Yes;Owner
47000;Opel;Corsa;1.4;2015;Gasoline;Semi Automatic;22000;90;1398;Front_2WD;Red;Yes;Owner
40500;Opel;Corsa;1.2;2013;Gasoline & LPG;Manual;80000;85;1229;Front_2WD;Navy Blue;No;Gallery
31500;Opel;Corsa;1.3;2006;Diesel;Semi Automatic;190000;70;1248;Front_2WD;Silver Grey;No;Gallery
59750;Opel;Corsa;1.4;2016;Gasoline;Semi Automatic;20000;90;1398;Front_2WD;White;Yes;Gallery
26000;Opel;Corsa;1.2;2004;Gasoline & LPG;Semi Automatic;170000;75;1199;Front_2WD;Grey;No;Owner
41750;Opel;Corsa;1.2;2011;Gasoline;Manual;39000;80;1229;Front_2WD;Blue;No;Owner
32500;Opel;Corsa;1.4;2004;Gasoline;Manual;92000;90;1364;Front_2WD;Silver Grey;No;Gallery
24000;Opel;Corsa;1.4;1998;Gasoline;Automatic;154000;90;1389;Front_2WD;Yellow;No;Gallery
18500;Opel;Corsa;1.5;1999;Diesel;Manual;198000;67;1488;Front_2WD;Blue;No;Owner
28750;Opel;Corsa;1.3;2004;Diesel;Manual;208000;70;1248;Front_2WD;White;No;Gallery
24250;Opel;Corsa;1.4;2000;Gasoline & LPG;Manual;149000;90;1389;Front_2WD;White;No;Owner
45500;Opel;Corsa;1.2;2014;Gasoline;Manual;17500;76;1200;Front_2WD;Navy Blue;No;Owner
56000;Opel;Corsa;1.4;2016;Gasoline;Automatic;38000;90;1398;Front_2WD;White;Yes;Gallery
46000;Opel;Corsa;1.4;2015;Gasoline;Manual;70000;90;1398;Front_2WD;Yellow;No;Gallery
23500;Opel;Corsa;1.4;2000;Gasoline & LPG;Manual;217000;90;1389;Front_2WD;White;No;Gallery
46500;Opel;Corsa;1.3;2012;Diesel;Manual;44000;75;1248;Front_2WD;Silver Grey;No;Owner
27500;Opel;Corsa;1.2;2003;Gasoline & LPG;Semi Automatic;207000;76;1200;Front_2WD;Red;Yes;Owner
31000;Opel;Corsa;1.2;2006;Gasoline;Semi Automatic;99000;80;1229;Front_2WD;White;No;Owner
38700;Opel;Corsa;1.3;2012;Diesel;Manual;120000;51;1201;Front_2WD;White;No;Gallery
22900;Opel;Corsa;1.3;2004;Diesel;Manual;178000;70;1248;Front_2WD;Navy Blue;No;Owner
31750;Opel;Corsa;1.3;2008;Diesel;Manual;205000;75;1248;Front_2WD;White;No;Owner
39750;Opel;Corsa;1.4;2011;Gasoline;Automatic;111000;76;1201;Front_2WD;Blue;No;Gallery
33000;Opel;Corsa;1.3;2008;Diesel;Manual;142000;90;1248;Front_2WD;Black;No;Owner
34250;Opel;Corsa;1.3;2011;Diesel;Manual;166000;75;1248;Front_2WD;Black;No;Gallery
51950;Opel;Corsa;1.4;2013;Gasoline;Automatic;30000;100;1364;Front_2WD;Grey;No;Gallery
51750;Opel;Corsa;1.4;2013;Gasoline;Automatic;65000;100;1364;Front_2WD;Silver Grey;No;Gallery
36750;Opel;Corsa;1.3;2011;Diesel;Manual;111000;51;1201;Front_2WD;Smoked;No;Owner
